instance_id,base_instance_id,arm,gate,component_size,separation,coverage,base_wrongness,seed,x,y,n_k,shd_truth,shd_cpdag,undirected_fraction,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac_n200,AUC_frac_n1000,AUC_frac_usable_n1000,n_depths_evaluated_n200,n_depths_evaluated_n1000,n_usable_depths_n200,n_usable_depths_n1000,se_auc_frac_n200,se_auc_frac_n1000
c06_s01_cov100_seed00000000_bw010,c06_s01_cov100_seed00000000,flip,fast_gate,6,1,1.0,0.1,0,X,Y,7,2,7,0.7,2,"C00,W",True,2,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->C02 X->Y C00-X C03-X,0.0006407920000128797,0.0,0.0006407920000128797,,2,13,6,0,0.3528130671506352,0.33891882445460636,0.5475519179797862,7,7,2,3,0.020059182783880934,0.008942774229976979
c06_s01_cov100_seed00000001_bw010,c06_s01_cov100_seed00000001,flip,fast_gate,6,1,1.0,0.1,1,X,Y,6,2,6,0.6666666666666666,2,"C00,W",True,2,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-X C03-X,0.0003876669999272053,0.0,0.0003876669999272053,,2,11,5,0,0.31458193979933113,0.32767955249225855,0.32767955249225855,6,6,2,4,0.014252138716266476,0.00708632730805533
c06_s01_cov100_seed00000004_bw010,c06_s01_cov100_seed00000004,flip,fast_gate,6,1,1.0,0.1,4,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00016949999996995757,0.0,0.00016949999996995757,,1,5,2,0,0.16973684210526313,0.1518796992481203,0.1518796992481203,5,5,2,4,0.017056584260272876,0.007508802975985719
c06_s01_cov100_seed00000005_bw010,c06_s01_cov100_seed00000005,flip,fast_gate,6,1,1.0,0.1,5,X,Y,6,2,6,0.6666666666666666,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.00026941599992369447,0.0,0.00026941599992369447,,1,6,4,0,0.9343237704918032,0.9099525581077852,0.9099525581077852,6,6,2,3,0.011363073231356678,0.0054746455286631855
c06_s01_cov100_seed00000006_bw010,c06_s01_cov100_seed00000006,flip,fast_gate,6,1,1.0,0.1,6,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00015404099997340381,0.0,0.00015404099997340381,,1,5,2,0,0.33163474692202455,0.3780923507462687,0.3780923507462687,5,5,2,2,0.04135459215661458,0.01991706017860975
c06_s01_cov100_seed00000007_bw010,c06_s01_cov100_seed00000007,flip,fast_gate,6,1,1.0,0.1,7,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.00016845800007558864,0.0,0.00016845800007558864,,1,5,2,0,0.0,0.0,0.0,5,5,2,3,0.0,0.0
c06_s01_cov100_seed00000008_bw010,c06_s01_cov100_seed00000008,flip,fast_gate,6,1,1.0,0.1,8,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.00015841699996599345,0.0,0.00015841699996599345,,1,5,2,0,0.2737616099071208,0.25690039625616046,0.25690039625616046,5,5,2,3,0.024260014366153167,0.010627468195495267
c06_s01_cov100_seed00000009_bw010,c06_s01_cov100_seed00000009,flip,fast_gate,6,1,1.0,0.1,9,X,Y,6,2,6,0.6666666666666666,2,"C00,W",True,2,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 C03->C05 W->Y X->Y C00-X C02-X,0.00040500000000065484,0.0,0.00040500000000065484,,2,11,4,0,0.34657097288676236,0.31264238398168476,0.31264238398168476,6,6,3,4,0.015133078215832985,0.006688621450711572
c06_s01_cov100_seed00000011_bw010,c06_s01_cov100_seed00000011,flip,fast_gate,6,1,1.0,0.1,11,X,Y,6,2,6,0.6666666666666666,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->C05 C00->Y C02->C04 W->Y X->Y C00-X,0.00021870800003398472,0.0,0.00021870800003398472,,1,6,2,0,0.11304347826086955,0.10028011204481793,0.10028011204481793,6,6,3,4,0.011935738366781678,0.005292540476761406
c06_s01_cov100_seed00000014_bw010,c06_s01_cov100_seed00000014,flip,fast_gate,6,1,1.0,0.1,14,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C04->C05 W->Y X->C04 X->Y C00-X,0.00016312499997184204,0.0,0.00016312499997184204,,1,5,2,0,0.24523809523809526,0.24506604506604507,0.24506604506604507,5,5,2,3,0.02277729877742653,0.00997484224068753
