instance_id,base_instance_id,arm,gate,component_size,separation,coverage,base_wrongness,seed,x,y,n_k,shd_truth,shd_cpdag,undirected_fraction,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac_n200,AUC_frac_n1000,AUC_frac_usable_n1000,n_depths_evaluated_n200,n_depths_evaluated_n1000,n_usable_depths_n200,n_usable_depths_n1000,se_auc_frac_n200,se_auc_frac_n1000
c06_s01_cov050_seed00000000_bw010,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,0.5,0.1,0,X,Y,4,2,5,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->Y C00-X C02-X C03-X,0.0002870000000143591,0.0,0.0002870000000143591,,1,5,2,0,0.225,0.2277,0.2277,4,4,2,2,0.00918558653543692,0.004057426524288518
c06_s01_cov050_seed00000001_bw010,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,0.5,0.1,1,X,Y,3,1,5,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-X C03-X,0.00023404200004506492,0.0,0.00023404200004506492,,1,5,2,0,0.3425,0.3445,0.3445,3,3,2,2,0.01642311633034364,0.007319135877957179
c06_s01_cov050_seed00000002_bw010,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,0.5,0.1,2,X,Y,3,2,4,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y W->Y X->C04 X->Y C00-C05 C00-X C02-X,0.00021766699995851013,0.0,0.00021766699995851013,,1,4,2,0,0.3325,0.3235,0.3235,3,3,2,2,0.01668738295839105,0.007556305314106888
c06_s01_cov050_seed00000003_bw010,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,0.5,0.1,3,X,Y,4,2,5,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 W->Y X->Y C00-X C02-X C03-C04,0.0002452919999882397,0.0,0.0002452919999882397,,1,5,2,0,0.615111111111111,0.6237899686520376,0.6237899686520376,4,4,2,2,0.044531849151694704,0.019854767324899228
c06_s01_cov050_seed00000004_bw010,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,0.5,0.1,4,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00015900000005331094,0.0,0.00015900000005331094,,1,5,2,0,0.5250000000000001,0.5,0.5,2,2,1,1,0.03531111722956383,0.015811388300841896
c06_s01_cov050_seed00000005_bw010,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,0.5,0.1,5,X,Y,3,0,6,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.0002020409999659023,0.0,0.0002020409999659023,,1,6,3,0,0.2881944444444444,0.2631578947368421,0.2631578947368421,3,3,2,2,0.020588761837060435,0.009545740133026469
c06_s01_cov050_seed00000006_bw010,c06_s01_cov050_seed00000006,flip,fast_gate,6,1,0.5,0.1,6,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00019395800001120733,0.0,0.00019395800001120733,,1,5,2,0,0.5549999999999999,0.508,0.508,2,2,1,1,0.03514078826662828,0.015809364313595912
c06_s01_cov050_seed00000007_bw010,c06_s01_cov050_seed00000007,flip,fast_gate,6,1,0.5,0.1,7,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.00016837499998700878,0.0,0.00016837499998700878,,1,5,2,0,0.0,0.0,0.0,2,2,2,2,0.0,0.0
c06_s01_cov050_seed00000008_bw010,c06_s01_cov050_seed00000008,flip,fast_gate,6,1,0.5,0.1,8,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.0001654590000157441,0.0,0.0001654590000157441,,1,5,2,0,0.54,0.491,0.491,2,2,1,1,0.03524202037341219,0.0158088266484265
c06_s01_cov050_seed00000009_bw010,c06_s01_cov050_seed00000009,flip,fast_gate,6,1,0.5,0.1,9,X,Y,3,1,5,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 C03->C05 W->Y X->Y C00-X C02-X,0.0002294999999890024,0.0,0.0002294999999890024,,1,5,2,0,0.4286898753733649,0.4046068685623282,0.4046068685623282,3,3,3,3,0.024177061321538965,0.011152713788133022
