instance_id,base_instance_id,arm,gate,component_size,separation,coverage,base_wrongness,seed,x,y,n_k,shd_truth,shd_cpdag,undirected_fraction,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac_n200,AUC_frac_n1000,AUC_frac_usable_n1000,n_depths_evaluated_n200,n_depths_evaluated_n1000,n_usable_depths_n200,n_usable_depths_n1000,se_auc_frac_n200,se_auc_frac_n1000
c06_s01_cov050_seed00000000_bw000,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,0.5,0.0,0,X,Y,4,2,5,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->Y C00-X C02-X C03-X,0.0003037079999987924,0.0,0.0003037079999987924,,1,5,2,0,0.231,0.23220000000000002,0.23220000000000002,4,4,2,2,0.008927205609819907,0.003967765114015698
c06_s01_cov050_seed00000001_bw000,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,0.5,0.0,1,X,Y,3,1,5,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-X C03-X,0.00022966700000104368,0.0,0.00022966700000104368,,1,5,2,0,0.325,0.34,0.34,3,3,2,2,0.016863421954040052,0.007375635565834309
c06_s01_cov050_seed00000002_bw000,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,0.5,0.0,2,X,Y,3,2,4,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y W->Y X->C04 X->Y C00-C05 C00-X C02-X,0.00023816600000081678,0.0,0.00023816600000081678,,1,4,2,0,0.3125,0.32,0.32,3,3,2,2,0.01711632992203644,0.0075894663844041105
c06_s01_cov050_seed00000003_bw000,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,0.5,0.0,3,X,Y,4,2,5,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 W->Y X->Y C00-X C02-X C03-C04,0.00025591600000041126,0.0,0.00025591600000041126,,1,5,2,0,0.6444999999999999,0.6150030303030303,0.6150030303030303,4,4,2,2,0.04183623045365618,0.019575745355088055
c06_s01_cov050_seed00000004_bw000,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,0.5,0.0,4,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00016895899999980202,0.0,0.00016895899999980202,,1,5,2,0,0.5250000000000001,0.508,0.508,2,2,1,1,0.03531111722956383,0.015809364313595912
c06_s01_cov050_seed00000005_bw000,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,0.5,0.0,5,X,Y,3,0,6,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.00024137500000165346,0.0,0.00024137500000165346,,1,6,3,0,0.2440944881889764,0.2545871559633027,0.2545871559633027,3,3,2,2,0.02217772254771761,0.009774127834431306
c06_s01_cov050_seed00000006_bw000,c06_s01_cov050_seed00000006,flip,fast_gate,6,1,0.5,0.0,6,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00018220799999824067,0.0,0.00018220799999824067,,1,5,2,0,0.4800000000000001,0.495,0.495,2,2,1,1,0.03532704346531138,0.015810597711661628
c06_s01_cov050_seed00000007_bw000,c06_s01_cov050_seed00000007,flip,fast_gate,6,1,0.5,0.0,7,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.00018574999999998454,0.0,0.00018574999999998454,,1,5,2,0,0.0,0.0,0.0,2,2,2,2,0.0,0.0
c06_s01_cov050_seed00000008_bw000,c06_s01_cov050_seed00000008,flip,fast_gate,6,1,0.5,0.0,8,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.00016654100000224048,0.0,0.00016654100000224048,,1,5,2,0,0.5549999999999999,0.5280000000000001,0.5280000000000001,2,2,1,1,0.03514078826662828,0.015786576576319513
c06_s01_cov050_seed00000009_bw000,c06_s01_cov050_seed00000009,flip,fast_gate,6,1,0.5,0.0,9,X,Y,3,1,5,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 C03->C05 W->Y X->Y C00-X C02-X,0.0002364999999997508,0.0,0.0002364999999997508,,1,5,2,0,0.41047763293124895,0.4094068861701448,0.4094068861701448,3,3,3,3,0.025122157337947808,0.011429550616650505
