instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c10_s01_cov050_seed00000000_bw000,c10_s01_cov050_seed00000000,flip,fast_gate,10,1,measured,0.5,0.0,,0,X,Y,6,2,9,9,0.7857142857142857,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 C04->C07 C04->C08 C05->C06 C06->C09 W->Y X->Y C00-X C02-X C03-X,0.0005959580000003406,0.0,0.0005959580000003406,,1,9,2,0,0.2518997224149896,1.2594986120749478,6,3
c10_s01_cov050_seed00000001_bw000,c10_s01_cov050_seed00000001,flip,fast_gate,10,1,measured,0.5,0.0,,1,X,Y,5,1,9,9,0.7692307692307693,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C08 C00->C09 C00->Y C03->C04 C04->C05 C05->C07 W->Y X->C06 X->Y C00-X C03-X,0.000429291999999748,0.0,0.000429291999999748,,1,9,2,0,0.24659999999999999,0.822,5,3
c10_s01_cov050_seed00000002_bw000,c10_s01_cov050_seed00000002,flip,fast_gate,10,1,measured,0.5,0.0,,2,X,Y,6,3,9,9,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C05 C00->C06 C00->C07 C00->Y C02->C09 C05->C08 W->Y X->C04 X->Y C00-X C02-X C05-C06 C07-X,0.0006867090000000076,0.0,0.0006867090000000076,,1,9,2,0,0.44829014084507046,1.185112676056338,6,4
c10_s01_cov050_seed00000003_bw000,c10_s01_cov050_seed00000003,flip,fast_gate,10,1,measured,0.5,0.0,,3,X,Y,6,3,10,10,0.8125,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->C06 C00->Y C02->C05 C03->C07 C03->C08 C03->C09 C04->C07 W->Y X->Y C00-X C02-X C03-C04 C03-C06,0.0007522920000013755,0.0,0.0007522920000013755,,1,10,2,0,0.3104272652576004,1.552136326288002,6,3
c10_s01_cov050_seed00000004_bw000,c10_s01_cov050_seed00000004,flip,fast_gate,10,1,measured,0.5,0.0,,4,X,Y,5,1,9,9,0.7692307692307693,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->C09 C00->Y C02->C03 C03->C04 C03->C06 C04->C07 C06->C08 W->Y X->C02 X->Y C00-X C04-C06,0.00044945800000029124,0.0,0.00044945800000029124,,1,9,2,0,0.21350906095551894,0.7116968698517299,5,2
c10_s01_cov050_seed00000005_bw000,c10_s01_cov050_seed00000005,flip,fast_gate,10,1,measured,0.5,0.0,,5,X,Y,6,1,11,11,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C07 C00->Y C02->C03 C02->C04 C02->C06 C02->C09 W->Y X->C02 X->C04 X->C05 X->C06 X->C08 X->Y C00-X C05-C08,0.0006287920000005442,0.0,0.0006287920000005442,,1,11,4,0,0.41156969579999103,1.0785738676009917,6,4
c10_s01_cov050_seed00000006_bw000,c10_s01_cov050_seed00000006,flip,fast_gate,10,1,measured,0.5,0.0,,6,X,Y,5,0,10,10,0.7692307692307693,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 C02->C06 C03->C08 C04->C07 W->Y X->C03 X->C05 X->C08 X->C09 X->Y C00-X,0.00045558399999734434,0.0,0.00045558399999734434,,1,10,3,0,0.8466903043134455,2.398443146357847,5,2
c10_s01_cov050_seed00000007_bw000,c10_s01_cov050_seed00000007,flip,fast_gate,10,1,measured,0.5,0.0,,7,X,Y,5,1,9,9,0.7692307692307693,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C07 C00->C08 C00->Y C03->C04 C03->C09 C05->C06 W->Y X->C02 X->C03 X->C05 X->Y C00-X C04-C09,0.00044833399999788526,0.0,0.00044833399999788526,,1,9,2,0,0.1920583468395462,0.640194489465154,5,2
c10_s01_cov050_seed00000008_bw000,c10_s01_cov050_seed00000008,flip,fast_gate,10,1,measured,0.5,0.0,,8,X,Y,6,2,10,10,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C02->C09 C03->C05 C03->C06 C03->C07 C03->C08 W->Y X->C02 X->C09 X->Y C00-X C05-C07 C07-C08,0.0006968339999993134,0.0,0.0006968339999993134,,1,10,3,0,0.8518873278587892,2.259436639293946,6,3
c10_s01_cov050_seed00000009_bw000,c10_s01_cov050_seed00000009,flip,fast_gate,10,1,measured,0.5,0.0,,9,X,Y,6,3,9,9,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 C03->C05 C03->C09 C05->C06 C05->C07 C06->C08 W->Y X->Y C00-X C02-X C05-C09 C06-C07,0.0007090410000003544,0.0,0.0007090410000003544,,1,9,2,0,0.34362734738905354,1.9693805180397954,6,1
